change_id,project,author_name,target,safe_entropy_interaction,is_bot,is_deployment_project,is_pure_config,is_fix,is_feature,is_maintenance,is_deployment,is_ci_change,is_refactor,config_line_ratio,code_line_ratio,churn_density,change_entropy,file_count,churn_log_size,deletion_ratio,msg_readability_ease,msg_gunning_fog,references_bug_tracker,has_subject_tag,modifies_db_migration,modifies_dependencies,modifies_config,modifies_public_api,has_security_impact,is_test_change,is_revert,is_documentation_only,directory_depth,file_extension_entropy,has_gerrit_topic,author_success_rate,author_submission_count,author_trust_score,project_acceptance_rate,historical_file_prob
openstack%2Fkolla~765859,openstack/kolla,Marcin Juszkiewicz,0,1.3709505944546687,0,1,1,0,1,0,0,0,0,1.0,0.0,1.6666666666666667,1.3709505944546687,3,1.791759469228055,0.2,47.565,13.866666666666669,0,0,0,0,1,0,0,0,0,0,3.0,2,0,0.625,8,0.07920792079207918,0.7941176470588235,0.75
openstack%2Fkolla~765860,openstack/kolla,Marcin Juszkiewicz,1,0.0,0,1,1,0,0,0,0,0,1,1.0,0.0,5.0,0.0,1,1.791759469228055,0.8,60.19176470588238,11.505882352941178,0,0,0,0,0,0,0,0,0,0,4.0,1,0,0.5555555555555556,9,0.08490566037735847,0.7714285714285715,0.0
openstack%2Fkolla~765864,openstack/kolla,Marcin Juszkiewicz,1,0.0,0,1,1,0,1,0,0,0,1,1.0,0.0,10.0,0.0,1,2.3978952727983707,0.8,40.2896551724138,18.49655172413793,0,0,0,0,0,0,0,0,0,0,3.0,1,0,0.6,10,0.09009009009009007,0.7777777777777778,0.6
openstack%2Fkolla~765995,openstack/kolla,Radosław Piliszek,1,0.0,0,1,1,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1,0.6931471805599453,1.0,30.740574712643706,10.7632183908046,0,1,0,0,1,0,0,0,0,0,2.0,1,1,0.6842105263157895,19,0.014960629921259842,0.7837837837837838,0.0
openstack%2Fkayobe~766059,openstack/kayobe,Mark Goddard,1,0.0,0,1,0,1,0,0,0,0,0,0.9411764705882353,0.058823529411764705,8.5,1.6664102022925098,4,3.5553480614894135,0.2647058823529412,48.25212121212124,14.606060606060607,0,0,0,0,1,0,0,0,0,0,4.5,3,1,0.8333333333333334,24,0.015463917525773196,0.9259259259259259,1.0
openstack%2Fkolla~766083,openstack/kolla,Radosław Piliszek,1,0.9940302114769565,0,1,1,0,0,0,0,1,0,1.0,0.0,44.0,0.9940302114769565,2,4.48863636973214,0.5,75.42784482758621,7.86896551724138,0,1,0,0,1,0,0,0,0,0,2.0,1,1,0.7,20,0.015735641227380016,0.7894736842105263,0.0
openstack%2Fkayobe~766203,openstack/kayobe,Mark Goddard,1,0.0,0,1,0,0,0,0,0,0,0,0.9183673469387755,0.0,8.166666666666666,2.1760074296515923,6,3.912023005428146,0.3469387755102041,45.19743138936536,8.425500285877645,0,0,1,1,1,0,0,0,0,0,2.5,4,0,0.84,25,0.015762925598991173,0.9285714285714286,1.0
openstack%2Foctavia~766381,openstack/octavia,Lingxian Kong,1,0.0,0,0,1,0,0,0,1,0,0,1.0,0.0,2.0,0.0,1,1.0986122886681098,0.5,76.55600000000001,10.0,0,0,0,0,1,0,0,0,0,0,7.0,1,1,1.0,6,0.049586776859504134,0.5167464114832536,1.0
openstack%2Fkolla~766500,openstack/kolla,Marcin Juszkiewicz,1,0.0,0,1,1,0,0,0,0,0,1,1.0,0.0,4.0,0.0,1,1.6094379124341003,0.75,29.515000000000015,11.533333333333333,0,0,0,0,0,0,0,0,0,0,4.0,1,0,0.6363636363636364,11,0.09090909090909088,0.7948717948717948,0.5
openstack%2Fkolla-ansible~766503,openstack/kolla-ansible,Pierre Riteau,1,0.0,0,1,1,1,0,1,0,0,0,1.0,0.0,1.0,0.0,1,0.6931471805599453,0.0,40.486136363636376,17.545454545454543,1,0,1,0,0,0,0,0,0,0,5.0,1,1,0.9166666666666666,12,0.04270462633451958,0.75,0.0
